MICS_CO,MICS_NH,MICS_NO,BME_RAW_ADC,BME_REAL_ADC,SCD_CO2,SCD_TEMP,SCD_HUM,MQ5_VOLTAGE_MV,MQ5_GAS_DETECTED,label
755,29,38,206491,273391,2115,35,44,1087,0,B_fire
831,31,38,206942,275850,2248,35,43,1101,0,B_fire
857,30,39,206978,276876,2380,38,43,1112,0,B_fire
912,31,37,207625,279674,2516,38,45,1151,1,B_fire
990,30,40,207943,281710,2706,37,44,1177,1,B_fire
1068,31,40,208244,283412,2803,39,45,1192,1,B_fire
1126,32,40,208828,284686,2930,41,44,1222,1,B_fire
1179,32,40,209410,287330,3085,42,45,1243,1,B_fire
1240,33,41,209827,289080,3256,42,44,1271,1,B_fire
1305,33,40,209960,291211,3379,43,45,1261,1,B_fire
1337,34,42,209958,291710,3401,44,47,1273,1,B_fire
1381,34,43,210706,293496,3533,42,46,1284,1,B_fire
1404,36,42,210539,293680,3590,45,45,1294,1,B_fire
1479,36,43,211097,296033,3720,46,46,1350,1,B_fire
1509,35,45,211429,296966,3824,45,47,1343,1,B_fire
1599,36,43,211615,299513,3965,47,47,1356,1,B_fire
1652,38,45,211987,301018,4115,47,46,1374,1,B_fire
1697,39,45,212457,301821,4141,47,47,1415,1,B_fire
1751,38,46,212605,302998,4237,47,47,1424,1,B_fire
1788,37,44,212775,304286,4337,47,49,1447,1,B_fire
1794,38,45,212981,304147,4331,49,47,1420,1,B_fire
1825,38,46,213070,305524,4436,49,47,1446,1,B_fire
1819,38,46,213022,305535,4424,49,47,1432,1,B_fire
1796,40,46,213081,305427,4416,48,49,1455,1,B_fire
1883,38,45,213368,307133,4582,50,49,1472,1,B_fire
1888,40,45,213532,307663,4576,50,47,1456,1,B_fire
55,23,29,201243,251144,470,25,39,824,0,A_fire
67,21,30,201508,251000,450,25,39,805,0,A_fire
82,23,30,201354,251323,450,26,39,819,0,A_fire
61,21,30,201487,251505,464,25,39,820,0,A_fire
55,22,29,201353,251000,454,25,40,815,0,A_fire
63,22,31,201288,251210,450,25,41,810,0,A_fire
109,22,30,201598,251796,488,25,41,828,0,A_fire
63,21,31,201787,252407,517,26,39,807,0,A_fire
129,21,30,201947,252729,600,26,40,820,0,A_fire
132,22,31,201847,253413,665,25,40,842,0,A_fire
209,23,32,201941,254554,725,27,41,840,0,A_fire
201,22,32,202117,255554,823,28,40,848,0,A_fire
307,22,32,202800,256562,935,28,40,880,0,A_fire
283,23,32,202701,257913,988,27,40,887,0,A_fire
391,24,32,203338,259446,1111,29,42,916,0,A_fire
396,24,31,203538,261436,1287,31,42,946,0,A_fire
462,24,32,204092,262656,1431,30,41,954,0,A_fire
552,24,32,204388,264213,1554,31,42,965,0,A_fire
579,25,34,204674,265644,1664,31,40,979,0,A_fire
657,26,35,204993,268071,1849,34,41,1027,0,A_fire
781,27,33,205255,270248,2059,34,41,1043,0,A_fire
800,26,35,205938,272229,2159,36,41,1071,0,A_fire
904,26,35,206445,274529,2339,36,42,1095,0,A_fire
986,26,34,206728,276638,2538,37,43,1125,0,A_fire
1011,29,37,207237,278170,2687,39,43,1143,0,A_fire
1132,28,37,207494,280997,2899,39,41,1164,0,A_fire
1161,29,38,207936,282356,2959,39,41,1178,0,A_fire
1308,28,38,208430,284886,3220,41,42,1209,0,A_fire
1363,31,39,209175,287454,3404,42,43,1225,1,A_fire
1484,29,37,209615,290439,3629,44,43,1253,1,A_fire
1524,31,38,209647,291251,3691,44,41,1286,1,A_fire
1641,30,40,210402,293914,3939,44,44,1306,1,A_fire
1723,31,39,210887,296391,4149,46,42,1343,1,A_fire
1835,32,40,211218,299249,4365,46,43,1360,1,A_fire
1825,31,39,211322,299174,4349,46,43,1358,1,A_fire
1939,32,42,211706,301137,4526,48,43,1407,1,A_fire
2041,33,42,212602,304884,4810,49,43,1456,1,A_fire
2094,35,43,212669,305790,4936,49,44,1470,1,A_fire
2097,33,41,212551,305002,4888,52,42,1457,1,A_fire
2202,35,43,213114,308400,5092,51,43,1493,1,A_fire
2256,35,43,213571,309831,5293,52,44,1496,1,A_fire
2273,36,44,213656,309604,5208,53,44,1505,1,A_fire
2436,35,44,214428,313835,5572,52,44,1545,1,A_fire
2506,35,44,214445,314992,5648,55,45,1545,1,A_fire
2402,36,45,214280,313234,5496,53,43,1548,1,A_fire
2558,35,43,214966,315582,5728,54,43,1586,1,A_fire
2575,37,43,214831,315745,5724,56,44,1582,1,A_fire
2531,36,44,214889,316015,5709,55,43,1571,1,A_fire
2566,37,45,215112,317144,5821,55,43,1600,1,A_fire
2536,36,45,214971,315969,5766,54,44,1578,1,A_fire
56,22,30,202022,251023,457,25,42,816,0,normal
52,22,29,201962,251138,458,25,41,813,0,normal
54,23,29,202067,251132,463,25,41,824,0,normal
56,24,30,201931,251212,467,26,41,820,0,normal
53,22,30,202001,251160,457,26,42,822,0,normal
54,24,31,202073,251131,469,25,41,816,0,normal
54,22,30,202116,251130,460,25,42,825,0,normal
57,24,29,201971,251195,461,26,41,827,0,normal
56,22,31,201945,251274,466,26,42,816,0,normal
54,22,30,202067,251293,462,25,41,818,0,normal
54,22,31,201939,251146,470,25,42,828,0,normal
55,22,31,202027,251359,462,26,42,820,0,normal
56,22,31,202100,251352,463,25,41,825,0,normal
56,23,30,202179,251314,472,25,41,828,0,normal
54,23,30,202161,251412,470,25,42,827,0,normal
57,24,30,201940,251350,460,25,41,822,0,normal
57,23,31,202043,251446,460,25,42,823,0,normal
57,23,31,202046,251323,464,26,42,818,0,normal
55,23,30,202086,251484,462,26,41,819,0,normal
56,23,32,201926,251491,463,26,41,830,0,normal
55,23,32,201892,251431,462,26,42,819,0,normal
55,22,31,202080,251460,468,26,42,827,0,normal
54,24,31,201932,251525,464,27,42,821,0,normal
56,23,31,201910,251316,472,26,41,822,0,normal
55,22,32,201829,251404,460,26,41,822,0,normal
56,24,32,201864,251357,461,26,40,821,0,normal
55,22,31,201886,251366,470,27,41,821,0,normal
57,23,30,201931,251420,467,26,41,825,0,normal
58,21,31,201918,251397,467,27,40,816,0,normal
56,22,31,201828,251517,467,26,40,828,0,normal
56,23,32,201982,251364,466,26,40,820,0,normal
54,23,30,201688,251555,462,26,41,817,0,normal
56,23,32,201935,251434,467,27,40,820,0,normal
57,21,30,201728,251570,459,26,41,824,0,normal
56,23,32,201889,251565,467,26,40,819,0,normal
56,22,31,201864,251528,456,26,41,817,0,normal
53,23,31,201605,251354,465,26,41,815,0,normal
52,21,32,201545,251384,458,26,41,821,0,normal
52,23,32,201775,251467,464,26,40,821,0,normal
56,23,31,201512,251482,454,27,40,821,0,normal
53,22,32,201521,251465,456,26,40,816,0,normal
54,23,30,201458,251355,451,26,40,809,0,normal
54,21,30,201589,251438,450,27,40,816,0,normal
54,21,30,201606,251280,459,26,40,811,0,normal
51,23,30,201463,251303,455,26,40,811,0,normal
53,23,31,201430,251407,453,26,40,809,0,normal
53,22,32,201486,251273,453,26,41,806,0,normal
51,21,31,201398,251341,458,27,40,808,0,normal
54,20,30,201397,251264,454,26,40,808,0,normal
50,21,31,201459,251341,455,26,40,812,0,normal
70,23,31,201767,251051,466,25,40,828,0,K_fire
68,23,31,201601,251000,450,26,39,805,0,K_fire
55,23,32,201456,251312,469,26,40,836,0,K_fire
107,23,30,201541,251594,474,25,40,827,0,K_fire
59,22,32,201582,251000,459,26,41,831,0,K_fire
110,22,31,201624,251179,472,26,40,805,0,K_fire
109,23,31,201975,251344,502,25,40,821,0,K_fire
124,22,31,201669,251757,549,25,40,811,0,K_fire
149,23,31,201959,253015,585,25,41,857,0,K_fire
168,23,32,202408,253384,645,27,41,836,0,K_fire
214,23,32,202386,254703,715,28,40,853,0,K_fire
220,23,32,202843,255095,824,26,39,860,0,K_fire
258,23,32,203179,256964,913,27,40,904,0,K_fire
341,22,32,203345,258058,999,27,39,916,0,K_fire
374,25,33,203614,259170,1091,29,40,947,0,K_fire
395,25,34,204070,260712,1217,31,40,958,0,K_fire
449,23,35,204432,262514,1334,30,42,964,0,K_fire
535,23,34,204954,264822,1510,31,40,1009,0,K_fire
571,25,36,205254,266248,1629,32,42,1020,0,K_fire
630,25,35,205729,267506,1768,35,40,1058,0,K_fire
734,25,36,206220,270596,1951,35,41,1088,0,K_fire
749,27,37,206974,272347,2126,36,41,1095,0,K_fire
826,26,37,207555,273987,2292,37,40,1137,0,K_fire
913,26,37,207936,276457,2425,37,41,1160,0,K_fire
968,28,37,208274,277396,2542,39,42,1193,0,K_fire
1050,27,39,208446,279772,2683,41,41,1235,1,K_fire
1155,27,40,209309,283455,2944,41,40,1278,1,K_fire
1192,27,38,209474,284334,3029,42,43,1287,1,K_fire
1261,30,40,210451,287227,3267,42,42,1308,1,K_fire
1368,30,40,211095,289308,3455,45,41,1360,1,K_fire
1337,29,42,211212,289675,3520,44,43,1338,1,K_fire
1459,29,41,211612,292092,3648,47,42,1388,1,K_fire
1606,29,43,212448,295600,3940,47,42,1445,1,K_fire
1641,31,41,213187,297534,4101,49,43,1448,1,K_fire
1738,30,42,213415,299196,4265,48,41,1472,1,K_fire
1742,31,43,213955,299827,4323,50,42,1487,1,K_fire
1865,33,43,214598,303865,4581,52,42,1554,1,K_fire
1887,33,43,214996,305064,4668,53,43,1545,1,K_fire
1940,31,45,215197,305989,4766,54,42,1598,1,K_fire
2046,31,46,215677,308415,4939,53,44,1626,1,K_fire
2146,33,46,216106,309660,5070,54,44,1619,1,K_fire
2082,34,46,216129,310114,5034,54,44,1625,1,K_fire
2142,33,47,216445,310552,5145,55,44,1646,1,K_fire
2259,34,47,216850,313493,5334,56,42,1676,1,K_fire
2240,33,45,217082,314092,5373,58,42,1685,1,K_fire
2284,34,47,216930,313246,5318,58,44,1667,1,K_fire
2263,33,46,217053,314193,5365,59,43,1711,1,K_fire
2323,33,47,217471,314770,5441,58,43,1726,1,K_fire
2344,33,47,217637,316739,5566,58,43,1736,1,K_fire
2335,34,48,217153,314820,5472,57,44,1715,1,K_fire
88,23,32,201832,251004,465,26,39,836,0,K_fire
55,21,31,201837,251230,465,26,40,821,0,K_fire
86,23,30,201565,251047,460,26,40,822,0,K_fire
55,23,30,201710,251350,450,25,40,807,0,K_fire
69,22,32,201652,251620,461,25,39,808,0,K_fire
111,21,32,201650,251225,486,25,40,823,0,K_fire
90,21,32,201817,251493,493,26,41,812,0,K_fire
80,21,30,201754,251968,517,25,41,823,0,K_fire
101,23,31,201917,252712,603,27,40,829,0,K_fire
153,23,33,202151,253927,635,27,39,837,0,K_fire
184,23,33,202577,254342,733,26,40,847,0,K_fire
221,24,31,202779,255895,816,28,40,867,0,K_fire
259,23,33,202912,256592,903,28,41,892,0,K_fire
295,22,33,203436,258190,1019,30,41,934,0,K_fire
369,24,33,203976,259913,1142,29,39,935,0,K_fire
390,23,35,204129,260999,1224,30,41,960,0,K_fire
457,24,33,204774,262881,1399,31,41,967,0,K_fire
541,24,34,204875,264214,1535,33,42,1010,0,K_fire
615,24,35,205310,266434,1712,33,42,1029,0,K_fire
622,24,34,205702,268754,1811,33,42,1075,0,K_fire
686,27,35,206245,270414,1950,36,41,1085,0,K_fire
764,27,35,207067,272229,2114,35,40,1124,0,K_fire
871,27,36,207319,273973,2278,36,41,1146,0,K_fire
968,26,39,208027,277647,2546,39,40,1190,0,K_fire
966,28,38,208583,278309,2580,40,40,1210,1,K_fire
1067,27,40,209241,281428,2840,40,42,1259,1,K_fire
1218,28,40,209727,284176,3010,42,42,1261,1,K_fire
1215,30,40,210151,285682,3162,44,41,1277,1,K_fire
1314,30,40,210280,287374,3269,43,41,1329,1,K_fire
1359,29,40,211165,288822,3454,44,41,1336,1,K_fire
1462,29,40,211714,291901,3646,47,41,1400,1,K_fire
1584,30,42,212506,294073,3832,48,43,1424,1,K_fire
1656,32,42,212548,295741,3963,48,42,1447,1,K_fire
1723,32,42,213223,297945,4107,50,41,1472,1,K_fire
1816,33,43,213804,300788,4377,50,41,1519,1,K_fire
1884,32,44,214775,303684,4571,50,43,1547,1,K_fire
1926,31,45,214732,303894,4604,52,43,1534,1,K_fire
2007,33,44,215459,306537,4800,53,43,1599,1,K_fire
2045,33,46,215478,306579,4839,54,42,1582,1,K_fire
2103,34,46,215821,308628,4980,54,43,1632,1,K_fire
2173,34,45,216196,310884,5141,54,43,1634,1,K_fire
2266,34,46,216682,312829,5262,56,44,1682,1,K_fire
2297,33,48,217475,314604,5462,58,44,1722,1,K_fire
2300,35,46,217168,314705,5402,56,44,1686,1,K_fire
2305,34,48,217508,315336,5473,59,43,1718,1,K_fire
2412,34,49,218162,317396,5657,59,43,1725,1,K_fire
2408,35,48,218226,317755,5732,59,44,1752,1,K_fire
2404,36,49,217937,317923,5668,58,42,1739,1,K_fire
2338,35,47,217390,316175,5534,58,42,1705,1,K_fire
2331,36,48,217942,317949,5682,59,42,1745,1,K_fire
51,22,32,201428,251176,443,26,39,809,0,normal
49,22,32,201393,251150,443,27,39,808,0,normal
51,20,32,201382,251154,450,26,39,812,0,normal
49,21,31,201364,251270,453,26,40,803,0,normal
52,22,32,201362,251244,450,26,39,801,0,normal
50,21,32,201229,251178,448,26,39,801,0,normal
52,21,31,201128,251251,445,26,40,797,0,normal
48,20,30,201288,251117,439,27,40,801,0,normal
51,21,31,201248,251114,437,26,39,797,0,normal
47,21,30,201166,251191,443,26,40,800,0,normal
50,22,32,201055,251214,444,27,39,804,0,normal
51,21,30,201165,251182,441,26,39,801,0,normal
51,22,30,201093,251181,436,26,39,797,0,normal
51,21,31,201108,251012,440,26,39,795,0,normal
48,20,31,201073,250968,445,26,39,792,0,normal
46,20,32,201035,251017,434,27,40,800,0,normal
46,22,32,201056,251124,443,26,40,801,0,normal
47,20,30,200969,250923,439,26,40,793,0,normal
50,20,32,200888,250980,435,26,39,800,0,normal
48,21,30,200919,251048,435,27,39,791,0,normal
48,22,31,201030,250918,434,26,40,793,0,normal
48,21,30,200830,250929,437,27,39,795,0,normal
49,22,31,200923,250964,435,26,40,793,0,normal
48,22,31,201036,250960,437,26,40,800,0,normal
49,20,32,200928,250819,435,27,39,797,0,normal
48,21,30,200926,250910,438,27,40,793,0,normal
48,20,30,201024,250972,433,27,39,799,0,normal
49,22,30,200926,250930,435,26,40,798,0,normal
48,21,32,200810,250888,430,27,39,791,0,normal
46,20,31,200987,250777,436,26,40,796,0,normal
48,20,31,200950,250900,435,26,40,793,0,normal
48,20,32,200934,250956,435,27,39,794,0,normal
47,21,31,200852,250769,434,25,39,790,0,normal
47,20,32,200951,250843,438,26,40,799,0,normal
47,20,32,200938,250879,435,25,39,790,0,normal
47,22,31,201132,250939,441,25,39,791,0,normal
47,21,30,201146,250858,430,25,39,797,0,normal
49,20,31,200918,250899,441,25,39,790,0,normal
49,20,29,200924,250869,443,25,39,797,0,normal
49,21,30,200921,250834,442,25,40,794,0,normal
50,21,31,201173,250982,438,26,40,801,0,normal
46,21,30,201120,250841,436,26,39,794,0,normal
47,20,29,201001,250904,444,25,40,798,0,normal
47,21,31,201009,250925,434,25,40,792,0,normal
48,22,29,201175,250844,440,25,39,795,0,normal
48,20,29,201107,250822,446,25,39,800,0,normal
48,22,31,201301,250876,440,26,40,798,0,normal
51,20,31,201186,250814,443,25,40,802,0,normal
52,22,31,201285,251023,442,25,40,801,0,normal
49,23,30,201156,250919,443,25,40,798,0,normal
62,22,31,201483,251288,450,25,39,815,0,A_fire
55,22,31,201545,251000,463,25,40,822,0,A_fire
58,21,29,201623,251224,470,26,41,821,0,A_fire
78,23,30,201260,251526,450,25,39,805,0,A_fire
72,21,29,201367,251015,472,26,41,823,0,A_fire
95,23,30,201397,251462,464,25,39,834,0,A_fire
66,22,30,201422,251295,480,25,41,830,0,A_fire
96,22,30,201557,251712,517,26,41,827,0,A_fire
134,21,29,201891,252599,605,26,39,828,0,A_fire
176,24,30,201815,253128,645,27,41,830,0,A_fire
180,22,32,202166,254331,731,27,39,843,0,A_fire
214,23,31,202218,255420,812,26,41,883,0,A_fire
289,22,31,202491,256617,928,27,39,875,0,A_fire
312,23,33,202912,258269,1054,27,40,896,0,A_fire
367,23,33,203397,259651,1170,29,40,934,0,A_fire
404,23,31,203740,261372,1297,30,42,931,0,A_fire
484,24,34,203909,262997,1437,31,40,967,0,A_fire
531,25,32,204154,265406,1597,30,42,995,0,A_fire
611,24,32,204758,267259,1739,31,42,986,0,A_fire
645,26,33,205064,268320,1844,32,41,1021,0,A_fire
800,25,33,205523,271384,2090,35,42,1063,0,A_fire
819,28,36,206009,273133,2224,36,41,1076,0,A_fire
931,28,34,206630,275759,2465,36,42,1107,0,A_fire
1012,29,35,206739,277235,2632,36,43,1138,0,A_fire
1070,27,35,207237,278774,2725,38,43,1126,0,A_fire
1156,30,38,207790,281613,2946,38,42,1176,0,A_fire
1262,28,36,208209,284516,3176,41,43,1207,0,A_fire
1337,31,38,208678,286660,3319,42,42,1237,1,A_fire
1416,31,38,209050,288348,3485,43,42,1247,1,A_fire
1516,31,38,209671,289873,3607,44,43,1259,1,A_fire
1640,32,38,210158,293382,3907,44,42,1329,1,A_fire
1680,33,41,210426,295435,4037,45,44,1334,1,A_fire
1809,31,39,211048,297710,4281,46,43,1382,1,A_fire
1867,34,41,211620,299079,4381,47,42,1398,1,A_fire
1955,33,41,211757,299961,4471,49,42,1373,1,A_fire
2088,35,42,212383,304484,4775,49,44,1428,1,A_fire
2166,35,42,212702,305648,4890,50,44,1440,1,A_fire
2221,33,41,212992,307295,5017,52,43,1451,1,A_fire
2255,35,43,213019,307578,5076,51,42,1471,1,A_fire
2395,35,42,213857,311469,5368,53,42,1522,1,A_fire
2318,36,42,213711,309866,5263,54,45,1503,1,A_fire
2453,35,45,214675,314434,5580,52,44,1545,1,A_fire
2426,35,44,214060,313025,5481,53,45,1527,1,A_fire
2583,36,43,215199,316733,5800,54,43,1563,1,A_fire
2575,36,45,215137,317469,5863,55,43,1582,1,A_fire
2635,36,46,215354,318356,5924,54,45,1614,1,A_fire
2557,36,46,215321,318272,5914,57,45,1584,1,A_fire
2617,36,45,215713,320006,6041,56,43,1620,1,A_fire
2684,36,45,215689,320641,6099,57,44,1629,1,A_fire
2615,37,44,215539,319342,5999,57,43,1617,1,A_fire
85,22,29,201520,251340,476,26,39,823,0,B_fire
77,21,30,201744,251155,452,25,40,814,0,B_fire
94,22,30,201586,251000,476,26,39,823,0,B_fire
55,22,30,201616,251000,467,26,39,810,0,B_fire
94,22,31,201518,251000,477,26,40,825,0,B_fire
101,22,30,201634,251000,473,25,40,805,0,B_fire
90,23,30,201785,251132,484,25,41,818,0,B_fire
73,21,31,201663,251597,521,25,39,818,0,B_fire
120,22,29,201777,252114,577,27,39,825,0,B_fire
117,23,30,201952,253256,602,25,39,824,0,B_fire
138,22,32,202328,253917,690,26,39,838,0,B_fire
205,22,30,202388,254919,727,28,40,860,0,B_fire
216,24,31,202756,256211,831,26,41,871,0,B_fire
246,24,33,202933,256903,900,29,40,890,0,B_fire
270,24,33,203316,258682,974,27,42,904,0,B_fire
333,26,33,203605,259583,1109,29,42,924,0,B_fire
388,24,34,203682,260990,1199,29,41,911,0,B_fire
420,26,33,204030,262728,1357,31,42,961,0,B_fire
480,26,35,204255,264590,1457,30,43,965,0,B_fire
553,28,34,204638,266288,1550,33,41,997,0,B_fire
590,28,36,205303,267704,1676,32,41,1013,0,B_fire
644,27,34,205644,268949,1780,32,43,1033,0,B_fire
661,28,37,205763,271610,1936,35,42,1050,0,B_fire
712,29,38,205963,272380,2043,36,44,1072,0,B_fire
785,29,36,206484,275125,2212,36,43,1070,0,B_fire
883,29,38,206928,276857,2319,37,44,1121,0,B_fire
924,30,38,207590,278787,2506,37,43,1145,1,B_fire
991,30,40,207786,280409,2635,37,45,1151,1,B_fire
1057,32,38,208024,281794,2746,40,44,1167,1,B_fire
1112,32,39,208282,283445,2866,41,45,1176,1,B_fire
1167,33,41,209043,286475,3030,40,44,1238,1,B_fire
1283,33,40,209614,289037,3224,40,44,1248,1,B_fire
1276,33,43,209694,289204,3223,41,46,1242,1,B_fire
1332,36,43,210273,291517,3379,43,47,1273,1,B_fire
1439,36,43,210615,293382,3575,43,46,1290,1,B_fire
1498,36,42,211041,294312,3632,45,45,1332,1,B_fire
1540,36,45,211401,297089,3797,45,45,1353,1,B_fire
1590,36,45,211828,298703,3948,46,46,1363,1,B_fire
1695,38,45,212252,300605,4095,46,48,1405,1,B_fire
1683,38,46,212330,301210,4118,48,48,1412,1,B_fire
1672,37,46,212076,300744,4114,47,46,1394,1,B_fire
1745,40,47,212727,303130,4254,49,46,1411,1,B_fire
1748,39,45,212805,302958,4263,48,46,1420,1,B_fire
1826,40,45,212939,305144,4408,50,48,1447,1,B_fire
1822,38,45,213350,306263,4511,50,47,1472,1,B_fire
1846,40,47,213590,306919,4547,50,49,1474,1,B_fire
1835,40,48,213258,306982,4549,50,48,1452,1,B_fire
1848,39,47,213452,306937,4508,50,49,1471,1,B_fire
1885,40,47,213701,308904,4696,50,48,1502,1,B_fire
1918,39,48,213853,309387,4728,50,47,1475,1,B_fire
55,21,31,201826,251476,454,25,40,836,0,C_fire
61,21,31,201883,251096,489,25,41,840,0,C_fire
55,21,30,201559,251198,486,25,39,811,0,C_fire
98,21,31,201595,251544,493,25,40,810,0,C_fire
57,23,30,201800,251405,470,25,41,838,0,C_fire
86,23,29,201889,251386,461,25,40,815,0,C_fire
90,23,30,201833,251424,482,25,41,807,0,C_fire
83,22,30,202136,252476,516,25,41,834,0,C_fire
131,23,29,202102,252822,564,25,41,852,0,C_fire
136,23,29,202109,253451,645,26,41,854,0,C_fire
199,23,32,202466,254313,698,25,39,885,0,C_fire
217,23,30,202621,255261,809,27,41,901,0,C_fire
280,24,32,202861,256125,865,26,39,903,0,C_fire
289,23,31,203522,257548,974,29,42,910,0,C_fire
358,25,33,203558,258944,1100,30,42,959,0,C_fire
422,25,31,203950,260817,1192,29,41,965,0,C_fire
462,23,33,204304,261664,1293,29,40,975,0,C_fire
509,24,33,204683,263503,1421,32,42,1039,0,C_fire
547,24,33,205422,265634,1596,31,40,1041,0,C_fire
629,25,34,205861,267224,1725,31,41,1062,0,C_fire
666,25,35,206212,269253,1853,32,42,1120,1,C_fire
726,27,35,206815,271408,2039,34,43,1150,1,C_fire
812,27,36,207344,272893,2181,34,43,1178,1,C_fire
914,26,35,207837,274880,2366,35,43,1225,1,C_fire
920,28,36,208180,277039,2448,38,43,1212,1,C_fire
1022,26,37,208906,279937,2708,38,41,1277,1,C_fire
1075,28,36,208997,281057,2783,38,43,1310,1,C_fire
1134,29,38,209526,282252,2930,40,42,1340,1,C_fire
1223,29,38,210089,284424,3078,39,44,1338,1,C_fire
1294,28,38,210737,287635,3299,41,42,1388,1,C_fire
1386,28,40,211148,289927,3488,41,43,1436,1,C_fire
1522,30,38,211841,292189,3677,42,43,1484,1,C_fire
1599,29,41,212295,294381,3800,44,43,1515,1,C_fire
1612,31,39,212587,295770,3928,45,44,1515,1,C_fire
1643,32,40,212793,296021,3982,45,45,1553,1,C_fire
1804,30,41,213818,300281,4302,47,45,1592,1,C_fire
1844,33,42,214140,300421,4322,47,45,1611,1,C_fire
1851,32,42,214311,301346,4374,49,44,1639,1,C_fire
1936,32,42,214715,303349,4506,50,44,1648,1,C_fire
1927,33,42,214986,303723,4605,48,45,1683,1,C_fire
2060,32,43,215894,307778,4879,51,45,1748,1,C_fire
2073,34,44,216215,308406,4941,50,44,1755,1,C_fire
